user,firend
user 1,friend 1
1,122
1,101
1,24
3,285
3,265
3,261
3,62
5,274
5,249
9,248
10,211
16,84
19,137
19,46
21,268
21,231
21,213
21,129
21,53
22,294
22,136
23,259
23,140
24,173
29,132
30,136
30,113
30,104
31,87
38,185
39,75
39,50
45,342
45,261
48,212
48,171
48,128
50,121
50,67
51,331
54,105
55,276
56,345
56,106
57,334
58,2847
58,119
59,122
60,345
60,238
60,119
61,237
62,272
62,232
63,318
64,280
65,271
65,142
66,303
67,331
67,92
69,257
72,311
72,268
72,261
73,194
73,178
77,291
79,314
79,148
79,128
79,105
80,246
82,291
84,172
85,280
88,342
88,277
92,277
93,144
98,121
100,271
101,173
103,340
103,325
103,268
103,261
104,232
104,120
107,2734
107,2643
107,2032
107,591
107,490
108,141
109,161
113,231
113,212
115,162
118,334
118,303
118,248
118,208
118,168
119,212
122,329
123,212
123,203
128,341
128,188
129,304
130,291
130,248
130,150
132,271
134,261
136,2659
136,2605
136,2604
136,2291
136,2109
136,2101
136,2087
136,2053
136,2045
136,2012
136,2010
136,288
142,258
142,211
148,285
148,158
155,190
158,295
159,346
159,304
161,315
163,261
163,204
168,317
168,280
170,236
171,252
173,524
176,338
176,272
178,211
185,221
196,290
196,252
199,207
200,298
203,257
207,339
211,298
212,261
214,227
223,323
223,235
224,239
229,297
236,345
236,291
238,329
242,340
248,322
250,324
261,270
265,268
266,322
266,320
268,323
268,304
270,283
274,322
276,332
276,284
277,295
280,320
281,329
283,323
285,329
291,308
297,346
297,301
298,331
303,334
304,317
314,318
318,323
322,324
331,336
334,340
348,1358
348,1192
350,525
350,422
350,416
352,1349
352,567
352,533
352,434
353,1582
353,1565
353,1184
353,555
353,525
354,503
354,482
355,431
357,567
359,556
359,435
360,680
360,492
360,435
360,430
360,425
360,405
360,403
361,566
361,422
361,418
361,391
363,1785
363,1778
363,1210
363,1114
366,1543
366,1114
366,563
367,471
369,522
369,503
369,440
370,1210
370,1013
370,485
370,470
370,444
370,382
372,466
373,1543
373,1324
374,1025
374,546
374,392
375,487
376,1885
376,1565
376,1469
376,1429
376,671
376,522
376,503
378,666
385,976
385,545
387,601
387,560
388,531
389,1910
389,1541
389,1236
390,483
390,456
391,463
392,652
392,641
392,520
392,461
392,446
394,561
394,471
395,570
395,496
395,475
396,431
396,405
397,492
398,1095
398,566
398,542
400,1473
400,526
400,457
402,1358
402,1320
402,1179
402,452
404,569
404,495
404,475
404,422
405,1374
405,537
405,484
406,544
407,523
408,1374
408,494
408,458
408,449
409,1692
409,524
409,465
410,422
412,1179
412,1095
412,546
412,545
412,474
414,1744
414,565
414,526
414,511
414,507
414,449
416,517
416,514
416,511
416,506
416,492
416,482
416,452
417,473
418,604
418,566
418,559
418,549
418,520
418,489
418,426
419,1694
419,1114
419,930
419,566
419,546
419,434
420,1324
420,1192
420,1106
420,651
421,683
422,542
423,1425
423,1155
423,563
423,534
423,498
423,483
423,471
423,438
424,527
424,459
424,440
425,645
425,497
425,432
426,566
426,557
426,519
426,512
426,433
428,1487
428,1290
428,1259
428,1080
428,535
428,519
430,1075
430,936
430,683
430,520
430,445
431,609
431,554
431,553
431,452
433,545
434,1320
436,976
436,666
436,620
436,469
438,1313
438,666
438,646
438,557
438,498
439,1692
439,494
439,462
440,563
442,567
444,558
445,570
445,477
445,451
446,1878
446,465
449,458
451,539
451,524
455,509
455,484
456,1179
456,531
456,471
457,546
457,544
458,528
459,509
461,1408
461,469
462,1179
463,525
465,1679
465,1549
467,498
469,504
470,553
470,523
471,483
472,537
472,524
472,507
473,504
475,1682
475,1671
475,1356
475,1113
475,1094
475,562
475,538
477,531
479,567
480,515
481,1374
482,521
482,492
483,1746
483,1727
483,1633
483,1598
483,1417
483,1051
483,565
483,551
483,495
484,1875
484,1280
484,1210
484,1165
487,542
488,1514
488,591
489,591
490,1358
491,538
492,1226
492,671
492,494
493,1400
493,1122
493,502
496,1767
496,544
497,610
497,580
497,556
500,1881
500,1694
500,1313
500,1204
502,557
504,554
506,1777
506,1767
506,609
506,515
507,1645
510,557
510,529
511,526
513,1677
515,1277
515,1237
515,609
515,526
515,520
517,1217
517,1049
520,565
524,1427
524,1142
524,654
525,1882
525,651
525,528
526,1675
526,1160
526,1147
526,963
526,936
526,641
526,567
526,536
527,1320
527,586
528,634
538,1536
538,1506
538,917
542,1673
542,1374
542,566
544,1357
544,547
547,1374
549,560
553,617
555,614
559,1740
559,1358
559,1357
559,652
559,596
563,1907
563,1631
563,1446
563,1059
563,596
566,1804
566,1612
566,1446
566,1318
567,1536
570,1313
573,629
579,672
580,1545
580,1448
580,948
584,685
588,666
588,597
589,666
591,1237
591,1122
596,1811
596,1699
596,1630
596,1427
596,1423
596,1396
596,1236
596,1066
596,606
601,1109
601,606
606,1528
606,1506
606,1472
606,1451
606,1390
606,1376
606,1128
606,990
606,953
606,914
619,629
625,636
625,626
629,1790
629,1706
637,1873
637,1870
637,1637
637,1554
637,1462
637,1418
637,1294
637,1236
637,1100
637,1011
641,1727
641,1234
641,1172
646,676
651,1672
656,1606
669,676
683,1300
687,694
688,842
688,762
690,760
691,702
693,850
693,808
694,838
694,799
695,848
696,757
696,730
696,709
697,851
697,838
697,761
698,842
698,831
700,799
706,708
708,784
708,778
709,815
709,766
711,821
711,813
712,806
715,778
715,755
715,734
718,773
718,739
719,809
722,731
724,769
724,762
725,850
726,843
726,772
726,747
727,844
727,817
727,772
729,810
730,754
731,826
731,765
732,767
734,827
735,753
736,787
736,754
737,808
739,849
739,781
739,779
751,800
751,794
751,770
753,878
753,863
754,818
755,821
758,840
758,772
759,830
760,816
760,773
761,784
762,834
764,810
766,774
768,772
769,819
769,818
770,847
772,847
772,823
773,838
774,803
777,807
778,824
778,810
780,847
782,799
784,821
786,826
792,845
794,840
794,826
795,849
795,800
798,845
803,830
803,829
803,815
807,842
816,817
817,853
818,842
827,844
830,837
833,847
837,880
838,847
857,3930
857,3831
857,3800
857,3693
862,3943
862,3670
862,3651
862,3626
896,1828
896,1179
896,1167
896,933
897,1826
897,1689
897,1670
897,1663
897,1597
897,1571
897,1524
897,1457
897,1399
897,1078
897,1073
897,998
898,1812
898,1303
900,1534
900,1345
900,1231
902,1887
902,1841
902,1715
902,1231
902,1120
902,1009
905,1910
905,1853
905,1847
906,1851
906,1799
906,1146
906,1086
906,932
907,1891
907,1524
907,1377
907,1330
907,1135
907,1048
908,1784
908,1689
908,1683
908,1597
909,961
912,1258
913,1877
913,1669
913,1547
913,1338
913,1282
913,1250
913,1026
913,948
914,1425
914,1122
915,1899
915,1867
915,1070
916,1886
916,1772
916,1539
916,1491
916,1132
916,1039
916,921
917,1426
917,1315
917,1213
917,1170
917,1035
917,963
919,1906
919,1704
919,1338
919,1007
920,1637
920,1449
921,1874
921,1559
921,1475
921,1365
921,1339
921,1330
921,1317
921,1196
921,1092
921,932
922,1852
922,1809
922,1799
922,1149
924,1633
924,1504
924,1168
925,1595
925,1434
925,1272
925,1255
925,1219
925,947
926,1388
926,1334
926,1250
926,1126
926,1003
927,1643
927,1271
927,1209
927,1125
927,1054
930,1454
932,1888
932,1833
932,1823
932,1554
932,1361
932,1335
932,1290
932,1185
932,1079
932,1039
932,998
932,960
933,1786
934,1826
934,1752
934,1700
934,1651
934,1501
934,1402
934,1398
934,972
936,1766
936,1763
936,1011
938,1324
938,1007
939,1169
940,1725
940,1342
941,1413
941,1324
941,1102
942,1715
942,1379
943,1541
944,1778
944,1749
944,1672
944,1624
944,1569
944,1355
944,1282
944,1259
946,1675
946,1535
946,1501
946,1484
946,1285
946,1175
946,1117
947,1868
947,1791
947,1772
947,1570
947,1520
947,1068
947,1029
948,1790
949,1828
949,1566
949,1244
949,1217
949,1035
951,1339
952,1710
952,1614
952,1405
952,1198
952,1195
952,1048
952,1047
953,1881
953,1715
953,1608
953,1540
953,1436
953,1312
954,1673
954,1496
